Imagen,Texto Detectado,Texto Esperado,Tiempo (s),Precisión (%),Resultado
"dataset/1755870662_0.91_(48, 96, 3)_AOT-720.jpg",,AOT-720,0.0254,0.0,❌ Incorrecto
"dataset/1755870687_0.91_(67, 124, 3)_CDL-482.jpg",,CDL-482,0.0304,0.0,❌ Incorrecto
"dataset/1755870769_0.9_(49, 99, 3)_Z7W-377.jpg",,Z7W-377,0.0286,0.0,❌ Incorrecto
"dataset/1755870783_0.9_(48, 98, 3)_Z8C-206.jpg",,Z8C-206,0.0210,0.0,❌ Incorrecto
"dataset/1755870785_0.9_(119, 121, 3)_L8C-206.jpg",,L8C-206,0.0285,0.0,❌ Incorrecto
"dataset/1755870826_0.9_(52, 102, 3)_V6M-597.jpg",V6l 597,V6M-597,0.0277,0.0,❌ Incorrecto
"dataset/1755870914_0.9_(47, 99, 3)_AOT-720.jpg",,AOT-720,0.0214,0.0,❌ Incorrecto
"dataset/1755871079_0.9_(62, 114, 3)_Z4J-763.jpg",,Z4J-763,0.0189,0.0,❌ Incorrecto
"dataset/1755871103_0.9_(59, 110, 3)_S1B-589.jpg",,S1B-589,0.0208,0.0,❌ Incorrecto
"dataset/1755871108_0.9_(52, 112, 3)_Z1J-781.jpg",,Z1J-781,0.0206,0.0,❌ Incorrecto
"dataset/1755871139_0.9_(50, 96, 3)_BSV-176.jpg",BsV 176,BSV-176,0.0171,0.0,❌ Incorrecto
"dataset/1755871157_0.92_(130, 134, 3)_L2N-738.jpg",724-730,L2N-738,0.0346,0.0,❌ Incorrecto
"dataset/1755871316_0.9_(51, 102, 3)_Z7M-111.jpg",,Z7M-111,0.0274,0.0,❌ Incorrecto
"dataset/1755871358_0.9_(48, 96, 3)_CRO-577.jpg",[RO 572,CRO-577,0.0173,0.0,❌ Incorrecto
"dataset/1755871447_0.9_(48, 101, 3)_V5S-570.jpg",,V5S-570,0.0274,0.0,❌ Incorrecto
"dataset/1755871461_0.9_(46, 96, 3)_APF-394.jpg",[pF 324,APF-394,0.0202,0.0,❌ Incorrecto
"dataset/1755871611_0.91_(57, 104, 3)_Z5V-413.jpg",,Z5V-413,0.0212,0.0,❌ Incorrecto
"dataset/1755871634_0.9_(60, 108, 3)_V8J-069.jpg",,V8J-069,0.0245,0.0,❌ Incorrecto
"dataset/1755871753_0.91_(60, 106, 3)_Z5L-091.jpg",,Z5L-091,0.0304,0.0,❌ Incorrecto
"dataset/1755871801_0.9_(47, 93, 3)_Z7S-679.jpg",,Z7S-679,0.0171,0.0,❌ Incorrecto
"dataset/1755871807_0.9_(48, 99, 3)_Z8A-540.jpg",,Z8A-540,0.0210,0.0,❌ Incorrecto
"dataset/1755871813_0.9_(63, 107, 3)_Z5D-490.jpg",257-490,Z5D-490,0.0205,0.0,❌ Incorrecto
"dataset/1755871836_0.9_(58, 116, 3)_V3C-453.jpg",,V3C-453,0.0273,0.0,❌ Incorrecto
"dataset/1755871886_0.9_(50, 104, 3)_Z6D-367.jpg",,Z6D-367,0.0213,0.0,❌ Incorrecto
"dataset/1755871920_0.91_(63, 106, 3)_ASN-544.jpg",,ASN-544,0.0198,0.0,❌ Incorrecto
"dataset/1755871984_0.91_(49, 95, 3)_Z7L-650.jpg",,Z7L-650,0.0177,0.0,❌ Incorrecto
"dataset/1755872015_0.9_(61, 112, 3)_Z5D-360.jpg",750-360,Z5D-360,0.0226,0.0,❌ Incorrecto
"dataset/1755872070_0.9_(52, 103, 3)_B1B-734.jpg",,B1B-734,0.0218,0.0,❌ Incorrecto
"dataset/1755872110_0.9_(51, 96, 3)_VOT-812.jpg",Vor-812,VOT-812,0.0172,0.0,❌ Incorrecto
"dataset/1755872180_0.9_(48, 98, 3)_A9K-715.jpg",,A9K-715,0.0295,0.0,❌ Incorrecto
"dataset/1755872284_0.91_(145, 146, 3)_L10-760.jpg",,L10-760,0.0350,0.0,❌ Incorrecto
"dataset/1755872299_0.9_(54, 103, 3)_Z5G-467.jpg",,Z5G-467,0.0240,0.0,❌ Incorrecto
"dataset/1755872312_0.9_(50, 97, 3)_Z7X-826.jpg",77x 826,Z7X-826,0.0194,0.0,❌ Incorrecto
"dataset/1755872398_0.9_(49, 101, 3)_F3F-041.jpg",EzF-041,F3F-041,0.0219,0.0,❌ Incorrecto
"dataset/1755872405_0.91_(59, 107, 3)_B1B-734.jpg",,B1B-734,0.0288,0.0,❌ Incorrecto
"dataset/1755872417_0.9_(49, 93, 3)_B31-104.jpg",,B31-104,0.0261,0.0,❌ Incorrecto
"dataset/1755872482_0.9_(58, 109, 3)_CJS-373.jpg",,CJS-373,0.0240,0.0,❌ Incorrecto
"dataset/1755872541_0.9_(123, 137, 3)_L10-760.jpg",7i0-760,L10-760,0.0301,0.0,❌ Incorrecto
"dataset/1755872551_0.9_(50, 98, 3)_Z7V-417.jpg",,Z7V-417,0.0281,0.0,❌ Incorrecto
"dataset/1755872552_0.91_(62, 109, 3)_77V-417.jpg",,77V-417,0.0277,0.0,❌ Incorrecto
"dataset/1755872559_0.9_(46, 103, 3)_74K-739.jpg",,74K-739,0.0277,0.0,❌ Incorrecto
"dataset/1755872559_0.9_(52, 107, 3)_Z4K-739.jpg",,Z4K-739,0.0282,0.0,❌ Incorrecto
"dataset/1755872606_0.91_(48, 99, 3)_CRO-577.jpg",,CRO-577,0.0207,0.0,❌ Incorrecto
"dataset/1755872752_0.9_(51, 96, 3)_BKZ-705.jpg",,BKZ-705,0.0168,0.0,❌ Incorrecto
"dataset/1755872828_0.9_(49, 94, 3)_Z2Q-310.jpg",720 310,Z2Q-310,0.0177,0.0,❌ Incorrecto
"dataset/1755872884_0.9_(51, 103, 3)_V1T-101.jpg",,V1T-101,0.0206,0.0,❌ Incorrecto
"dataset/1755872968_0.91_(50, 96, 3)_C1A-878.jpg",614-878,C1A-878,0.0172,0.0,❌ Incorrecto
"dataset/1755873119_0.91_(46, 95, 3)_42E-705.jpg",,42E-705,0.0193,0.0,❌ Incorrecto
"dataset/1755873369_0.9_(56, 100, 3)_AFG-023.jpg",Afg-023,AFG-023,0.0194,100.0,✅ Correcto
"dataset/1755873449_0.9_(55, 105, 3)_Z5G-139.jpg",256-139,Z5G-139,0.0188,0.0,❌ Incorrecto
"dataset/1755873458_0.91_(51, 98, 3)_W1A-763.jpg",,W1A-763,0.0206,0.0,❌ Incorrecto
"dataset/1755873467_0.9_(59, 112, 3)_BHB-015.jpg",,BHB-015,0.0209,0.0,❌ Incorrecto
"dataset/1755873478_0.9_(47, 98, 3)_42E-705.jpg",,42E-705,0.0282,0.0,❌ Incorrecto
"dataset/1755873578_0.9_(56, 108, 3)_Z5X-789.jpg",75x-789,Z5X-789,0.0242,0.0,❌ Incorrecto
,,,,,
=== RESUMEN FINAL ===,,,,,
Total de imágenes,500,,,,
Correctos,22,,,4.4,✅
Incorrectos,478,,,95.6,❌
Tiempo total,11.5103s,,,,
Tiempo promedio,0.0230s,,,,
